Salary Of Emplyee,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Serial No,First Name,Last Name,Date of Job,Month 1 Salary,Month 2 Salary,Month 3 Salary,Avg Sal,Total Sal,Column1,Full Name,Column2
5,Wei,Zhang,"February 5, 2024",3200.00,3250,3300,3250.00,9750.00,5 Wei,Wei,Back End
8,Wei,Zhang,"February 10, 2024",3200.00,3250,3300,3250.00,9750.00,8 Wei,Wei,Support
2,Priya,Sharma,"January 15, 2024",2800.00,2850,2900,2850.00,8550.00,2 Priya,Priya,Data Engineer
6,Maria,Lopez,"February 10, 2024",3100.00,3150,3200,3150.00,9450.00,6 Maria,Maria,Support
1,John,Smith,"January 1, 2024",3000.00,3100,3200,3100.00,9300.00,1 John,John,Support
4,Emily,Davis,"February 1, 2024",2700.00,2800,2900,2800.00,8400.00,4 Emily,Emily,Back End
7,David,Brown,"February 20, 2024",2900.00,2950,3000,2950.00,8850.00,7 David,David,Support
7,David,Brown,"February 20, 2024",2900.00,2950,3000,2950.00,8850.00,7 David,David,Data Engineer
3,Ahmed,Khan,"January 20, 2024",3500.00,3550,3600,3550.00,10650.00,3 Ahmed,Ahmed,
,,,,,,,,,,,
Names,Serial No,,,,,,,,,,
Wei,"=XLOOKUP([@Names],Table1[First Name], Table1[Avg Sal,Date],Table1[Date of Job],""NO"")",,,,,,,,,,
Priya,#VALUE!,,,,,,,,,,
Maria,#VALUE!,,,,,,,,,,
John,#VALUE!,,,,,,,,,,
